


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.1 (b25)     Uptime:    0.000 s
Compiled:   May 26 2022 12:09:46     Directory:  ome/aj/vexcode/aj-code


time (ms), velocity (RPM), voltage (mV), current(mA), power (W), temperature (deg C), torque (Nm)
2319282339840000000.000000, 42.333333, 7614, 2496, 4.679643, 40.000000, 1.055805
2362232012800000000.000000, 41.533333, 8186, 2487, 4.560101, 40.000000, 1.048651
2405181685760000000.000000, 35.733333, 7761, 2504, 3.960165, 40.000000, 1.058505
2448131358720000000.000000, 26.200000, 7078, 2477, 2.881482, 40.000000, 1.050432
2491081031680000000.000000, 33.000000, 7318, 2468, 3.611044, 40.000000, 1.045134
2534030704640000000.000000, 47.666667, 7909, 2471, 5.206101, 40.000000, 1.043161
2576980377600000000.000000, 42.200000, 8076, 2500, 4.661303, 40.000000, 1.054990
2619930050560000000.000000, 35.066667, 8143, 2432, 3.762152, 40.000000, 1.024696
2662879723520000000.000000, 38.333333, 7959, 2450, 4.148522, 40.000000, 1.033642
2705829396480000000.000000, 40.800000, 7811, 2480, 4.475381, 40.000000, 1.047667
2748779069440000000.000000, 40.000000, 7983, 2495, 4.411254, 40.000000, 1.053308
2791728742400000000.000000, 42.533333, 7915, 2517, 4.735429, 40.000000, 1.063367
2834678415360000000.000000, 40.533333, 7977, 2484, 4.449673, 40.000000, 1.048502
2877628088320000000.000000, 43.866667, 7983, 2473, 4.793217, 40.000000, 1.043628
2920577761280000000.000000, 42.466667, 7959, 2469, 4.633011, 40.000000, 1.042002
2963527434240000000.000000, 46.066667, 8254, 2488, 5.058154, 40.000000, 1.048718
3006477107200000000.000000, 47.333333, 8297, 2469, 5.154617, 40.000000, 1.040118
3049426780160000000.000000, 42.933333, 8076, 2505, 4.752195, 40.000000, 1.057190
3092376453120000000.000000, 44.266667, 8162, 2474, 4.834339, 40.000000, 1.043070
3135326126080000000.000000, 49.266667, 8445, 2500, 5.431261, 40.000000, 1.052933
3178275799040000000.000000, 46.000000, 8544, 2528, 5.127815, 40.000000, 1.064701
3221225472000000000.000000, 44.933333, 8310, 2527, 5.012975, 40.000000, 1.065566
3264175144960000000.000000, 46.400000, 7971, 2528, 5.187919, 40.000000, 1.067895
-987842478079998976.000000, 48.066667, 8173, 2511, 5.330929, 40.000000, 1.059284
-944892805119998976.000000, 52.400000, 8427, 2512, 5.806204, 40.000000, 1.058314
-901943132159998976.000000, 50.733333, 8433, 2481, 5.548898, 40.000000, 1.044640
-858993459199998976.000000, 47.866667, 8464, 2444, 5.152905, 40.000000, 1.028187
-816043786239998976.000000, 51.133333, 8495, 2448, 5.513063, 40.000000, 1.029775
-773094113279998976.000000, 52.266667, 8587, 2484, 5.719131, 40.000000, 1.045102
-730144440319998976.000000, 50.866667, 8685, 2502, 5.605211, 40.000000, 1.052476
-687194767359998976.000000, 53.600000, 8581, 2514, 5.939293, 40.000000, 1.058335
-644245094399998976.000000, 55.600000, 8605, 2506, 6.139638, 40.000000, 1.054681
-601295421439998976.000000, 54.600000, 8704, 2503, 6.018513, 40.000000, 1.052810
-558345748479998976.000000, 53.000000, 8642, 2523, 5.892896, 40.000000, 1.061955
-515396075519998976.000000, 53.666667, 8488, 2500, 5.914980, 40.000000, 1.052694
-472446402559998976.000000, 54.533333, 8618, 2459, 5.903362, 40.000000, 1.033929
-429496729599998976.000000, 59.800000, 8864, 2469, 6.492456, 40.000000, 1.036958
-386547056639998976.000000, 56.533333, 8876, 2490, 6.192092, 40.000000, 1.046131
-343597383679998976.000000, 56.200000, 8889, 2489, 6.152566, 40.000000, 1.045619
-300647710719998976.000000, 58.666667, 8667, 2495, 6.446424, 40.000000, 1.049496
-257698037759999008.000000, 55.000000, 8698, 2498, 6.050129, 40.000000, 1.050643
-214748364799999008.000000, 59.466667, 8778, 2512, 6.577049, 40.000000, 1.056357
-171798691839999008.000000, 61.066667, 8889, 2480, 6.660032, 40.000000, 1.041659
-128849018879999008.000000, 61.400000, 9030, 2471, 6.665877, 40.000000, 1.036913
-85899345919999008.000000, 59.866667, 9012, 2462, 6.475218, 40.000000, 1.033053
-42949672959999000.000000, 58.200000, 8889, 2509, 6.425142, 40.000000, 1.054419
1000.000000, 61.133333, 8957, 2483, 6.673326, 40.000000, 1.042600
42949672960001000.000000, 63.800000, 8987, 2509, 7.039720, 40.000000, 1.053872
85899345920000992.000000, 61.533333, 8975, 2493, 6.744691, 40.000000, 1.046899
128849018880000992.000000, 64.200000, 8969, 2469, 6.966228, 40.000000, 1.036373
171798691840000992.000000, 61.933333, 9006, 2439, 6.633345, 40.000000, 1.022967
214748364800000992.000000, 62.733333, 9055, 2451, 6.751915, 40.000000, 1.027973
257698037760000992.000000, 65.200000, 9067, 2443, 6.992914, 40.000000, 1.024387
300647710720001024.000000, 63.800000, 9061, 2455, 6.878252, 40.000000, 1.029700
343597383680001024.000000, 65.933333, 9055, 2453, 7.102402, 40.000000, 1.028853
386547056640001024.000000, 64.533333, 9067, 2470, 7.001680, 40.000000, 1.036267
429496729600001024.000000, 68.933333, 9061, 2450, 7.415796, 40.000000, 1.027500
472446402560001024.000000, 66.600000, 9055, 2416, 7.060695, 40.000000, 1.012573
515396075520001024.000000, 67.533333, 9123, 2411, 7.141408, 40.000000, 1.009994
558345748480001024.000000, 69.266667, 9086, 2404, 7.303861, 40.000000, 1.007121
601295421440001024.000000, 68.133333, 9030, 2368, 7.073587, 40.000000, 0.991593
644245094400001024.000000, 66.266667, 9012, 2352, 6.831642, 40.000000, 0.984653
687194767360001024.000000, 66.333333, 9000, 2370, 6.893984, 40.000000, 0.992640
730144440320001024.000000, 72.200000, 9024, 2333, 7.379626, 40.000000, 0.976226
773094113280001024.000000, 70.800000, 9037, 2292, 7.102268, 40.000000, 0.958114
816043786240001024.000000, 71.533333, 9055, 2280, 7.135535, 40.000000, 0.952733
858993459200001024.000000, 68.733333, 9018, 2269, 6.822886, 40.000000, 0.948100
901943132160001024.000000, 71.933333, 9055, 2261, 7.112473, 40.000000, 0.944373
944892805120001024.000000, 73.733333, 9092, 2258, 7.278668, 40.000000, 0.942847
987842478080001024.000000, 74.133333, 9055, 2246, 7.278773, 40.000000, 0.937773
1030792151040001024.000000, 69.600000, 9055, 2245, 6.830461, 40.000000, 0.937333
1073741824000001024.000000, 73.466667, 9043, 2236, 7.179986, 40.000000, 0.933440
1116691496960001024.000000, 73.933333, 9055, 2218, 7.163769, 40.000000, 0.925453
1159641169920001024.000000, 74.733333, 9074, 2192, 7.150943, 40.000000, 0.913908
1202590842880001024.000000, 71.933333, 9049, 2204, 6.923837, 40.000000, 0.919327
1245540515840001024.000000, 73.266667, 9055, 2209, 7.068795, 40.000000, 0.921493
